Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Date de lancement,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%)
AG1_Témoignage_Studio_Performance_V897,Shaker,Studio Interne,Témoignage,Performance sportive,Mon secret de productivité,Septembre 2025,Archivée,25/09/2025,3195,72,4536.9,1.42,44.38,469705,14091,3
AG1_Imagestatique_Antoine_Routine_V898,Vitamine D3+K2,Antoine Roux,Image statique,Routine matinale,Pourquoi je ne peux plus m'en passer,Octobre 2025,En ligne,21/10/2025,5978,115,14705.88,2.46,51.98,174357,2790,1.6
AG1_Podcast_Camille_Focus_V899,Shaker,Camille Dubois,Podcast,Focus mental,Ce qui a changé ma vie...,Juillet 2025,Archivée,07/07/2025,3367,168,13063.96,3.88,20.04,314929,13857,4.4
AG1_Podcast_Camille_Énergie_V900,Shaker,Camille Dubois,Podcast,Énergie quotidienne,Pourquoi je ne peux plus m'en passer,Juillet 2025,Arrêtée,02/07/2025,689,229,1701.83,2.47,3.01,156487,5790,3.7
AG1_Témoignage_Sophie_Routine_V901,Abonnement,Sophie Martin,Témoignage,Routine matinale,Avant chaque entraînement...,Août 2025,En ligne,05/08/2025,4657,165,15740.66,3.38,28.22,454234,14990,3.3
AG1_Témoignage_Sophie_Performance_V902,AG1 Powder,Sophie Martin,Témoignage,Performance sportive,Mon secret de productivité,Juillet 2025,Archivée,22/07/2025,3197,54,3388.82,1.06,59.2,266640,7199,2.7
AG1_Motion-Vidéo_Studio_Routine_V903,AG1 Powder,Studio Interne,Motion/Vidéo,Routine matinale,Avant chaque entraînement...,Septembre 2025,En pause,13/09/2025,6515,157,12443.65,1.91,41.5,95958,2015,2.1
AG1_Imagestatique_Pierre_Routine_V904,Omega-3,Pierre Moreau,Image statique,Routine matinale,3 mois plus tard...,Octobre 2025,En ligne,08/10/2025,4269,233,15411.09,3.61,18.32,85251,1790,2.1
AG1_Témoignage_Studio_Immunité_V905,AG1 Travel Packs,Studio Interne,Témoignage,Immunité,Avant chaque entraînement...,Juillet 2025,En ligne,05/07/2025,3070,40,9332.8,3.04,76.75,207642,9136,4.4
AG1_Imagestatique_Pierre_Immunité_V906,AG1 Travel Packs,Pierre Moreau,Image statique,Immunité,La vérité sur AG1,Juillet 2025,En ligne,14/07/2025,6763,40,20762.41,3.07,169.08,243342,3893,1.6
AG1_Imagestatique_Antoine_Digestion_V907,Omega-3,Antoine Roux,Image statique,Digestion,Pourquoi je ne peux plus m'en passer,Septembre 2025,Arrêtée,24/09/2025,3763,165,4816.64,1.28,22.81,237595,8316,3.5
AG1_Imagestatique_Studio_Performance_V908,Vitamine D3+K2,Studio Interne,Image statique,Performance sportive,Mon avis honnête,Août 2025,Arrêtée,15/08/2025,5660,225,6961.8,1.23,25.16,153094,3215,2.1
AG1_Podcast_Julie_Voyage_V909,Omega-3,Julie Petit,Podcast,Voyage et santé,Mon secret de productivité,Octobre 2025,En pause,12/10/2025,4078,206,12274.78,3.01,19.8,162278,7140,4.4
AG1_UGC_Léa_Immunité_V910,Abonnement,Léa Garcia,UGC,Immunité,Mon secret de productivité,Juillet 2025,Arrêtée,26/07/2025,4949,231,18113.34,3.66,21.42,264229,6606,2.5
AG1_Podcast_Emma_Performance_V911,AG1 Travel Packs,Emma Laurent,Podcast,Performance sportive,Avant chaque entraînement...,Septembre 2025,Arrêtée,14/09/2025,862,81,3284.22,3.81,10.64,432148,11668,2.7
AG1_Podcast_Thomas_Voyage_V912,Omega-3,Thomas Bernard,Podcast,Voyage et santé,Pourquoi je ne peux plus m'en passer,Juillet 2025,Archivée,05/07/2025,4856,57,11557.28,2.38,85.19,368317,16206,4.4
AG1_Podcast_Léa_Focus_V913,Omega-3,Léa Garcia,Podcast,Focus mental,3 mois plus tard...,Juillet 2025,Arrêtée,02/07/2025,4924,142,18071.08,3.67,34.68,110891,4547,4.1
AG1_Témoignage_Sophie_Énergie_V914,Shaker,Sophie Martin,Témoignage,Énergie quotidienne,La vérité sur AG1,Août 2025,En pause,10/08/2025,3276,200,5176.08,1.58,16.38,183112,4395,2.4
AG1_Imagestatique_Camille_Bien-être_V915,AG1 Travel Packs,Camille Dubois,Image statique,Bien-être global,Mon avis honnête,Octobre 2025,En pause,03/10/2025,6165,138,17138.7,2.78,44.67,265214,9282,3.5
AG1_Motion-Vidéo_Emma_Voyage_V916,AG1 Powder,Emma Laurent,Motion/Vidéo,Voyage et santé,Mon secret de productivité,Novembre 2025,Arrêtée,26/11/2025,6099,63,19882.74,3.26,96.81,83215,3495,4.2
AG1_Podcast_Pierre_Voyage_V917,Omega-3,Pierre Moreau,Podcast,Voyage et santé,Avant chaque entraînement...,Septembre 2025,En pause,24/09/2025,6418,227,14633.04,2.28,28.27,128903,4254,3.3
AG1_Témoignage_Julie_Bien-être_V918,Omega-3,Julie Petit,Témoignage,Bien-être global,Mon secret de productivité,Octobre 2025,Arrêtée,01/10/2025,2332,88,3567.96,1.53,26.5,321261,12529,3.9
AG1_UGC_Sophie_Bien-être_V919,Abonnement,Sophie Martin,UGC,Bien-être global,Mon secret de productivité,Septembre 2025,En pause,25/09/2025,3215,248,9355.65,2.91,12.96,434437,18246,4.2
AG1_Motion-Vidéo_Léa_Voyage_V920,AG1 Powder,Léa Garcia,Motion/Vidéo,Voyage et santé,Mon avis honnête,Octobre 2025,En ligne,14/10/2025,3224,169,12025.52,3.73,19.08,427499,15817,3.7
AG1_Motion-Vidéo_Antoine_Focus_V921,Shaker,Antoine Roux,Motion/Vidéo,Focus mental,3 mois plus tard...,Novembre 2025,En pause,03/11/2025,7015,156,28060,4,44.97,219998,4840,2.2
AG1_Témoignage_Emma_Digestion_V922,Vitamine D3+K2,Emma Laurent,Témoignage,Digestion,Avant chaque entraînement...,Octobre 2025,En ligne,04/10/2025,7766,232,22987.36,2.96,33.47,344530,7924,2.3
AG1_Imagestatique_Studio_Voyage_V923,AG1 Powder,Studio Interne,Image statique,Voyage et santé,Ce que personne ne dit,Octobre 2025,En pause,19/10/2025,5377,93,22906.02,4.26,57.82,361496,7953,2.2
AG1_Podcast_Marc_Bien-être_V924,Bundle Complet,Marc Dupont,Podcast,Bien-être global,Mon avis honnête,Septembre 2025,Arrêtée,25/09/2025,1078,9,3816.12,3.54,119.78,71167,1210,1.7
AG1_UGC_Emma_Voyage_V925,AG1 Powder,Emma Laurent,UGC,Voyage et santé,Ce que personne ne dit,Juillet 2025,Arrêtée,02/07/2025,2128,167,5852,2.75,12.74,153171,4901,3.2
AG1_Témoignage_Marc_Immunité_V926,Omega-3,Marc Dupont,Témoignage,Immunité,Ce qui a changé ma vie...,Juillet 2025,En ligne,27/07/2025,6383,37,20361.77,3.19,172.51,224678,6740,3
AG1_UGC_Julie_Voyage_V927,Vitamine D3+K2,Julie Petit,UGC,Voyage et santé,Ce que personne ne dit,Septembre 2025,En ligne,04/09/2025,3298,47,11477.04,3.48,70.17,193253,7150,3.7
AG1_Motion-Vidéo_Léa_Digestion_V928,AG1 Travel Packs,Léa Garcia,Motion/Vidéo,Digestion,3 mois plus tard...,Octobre 2025,En pause,01/10/2025,727,182,1512.16,2.08,3.99,239358,5027,2.1
AG1_Podcast_Sophie_Immunité_V929,AG1 Travel Packs,Sophie Martin,Podcast,Immunité,3 mois plus tard...,Novembre 2025,En pause,05/11/2025,6689,49,9899.72,1.48,136.51,477301,16228,3.4
AG1_Motion-Vidéo_Studio_Focus_V930,Vitamine D3+K2,Studio Interne,Motion/Vidéo,Focus mental,Pourquoi je ne peux plus m'en passer,Octobre 2025,Arrêtée,08/10/2025,2869,156,5795.38,2.02,18.39,405815,15015,3.7
AG1_Imagestatique_Camille_Immunité_V931,Vitamine D3+K2,Camille Dubois,Image statique,Immunité,Pourquoi je ne peux plus m'en passer,Septembre 2025,En ligne,09/09/2025,3594,20,15454.2,4.3,179.7,96659,4253,4.4
AG1_Motion-Vidéo_Léa_Énergie_V932,AG1 Travel Packs,Léa Garcia,Motion/Vidéo,Énergie quotidienne,Ce que personne ne dit,Juillet 2025,Archivée,12/07/2025,6121,244,19709.62,3.22,25.09,179000,3938,2.20
AG1_Podcast_Marc_Performance_V933,AG1 Travel Packs,Marc Dupont,Podcast,Performance sportive,Mon avis honnête,Octobre 2025,Archivée,22/10/2025,6114,139,12166.86,1.99,43.99,189653,7586,4
AG1_Podcast_Studio_Bien-être_V934,Shaker,Studio Interne,Podcast,Bien-être global,Mon secret de productivité,Octobre 2025,En pause,01/10/2025,4210,88,9598.8,2.28,47.84,144401,3899,2.7
AG1_Témoignage_Léa_Focus_V935,AG1 Travel Packs,Léa Garcia,Témoignage,Focus mental,Mon avis honnête,Novembre 2025,En ligne,25/11/2025,6042,184,11963.16,1.98,32.84,412903,14039,3.4
AG1_Podcast_Sophie_Bien-être_V936,Abonnement,Sophie Martin,Podcast,Bien-être global,Ce que personne ne dit,Juillet 2025,En ligne,09/07/2025,5108,188,12974.32,2.54,27.17,49163,1967,4
AG1_Podcast_Sophie_Bien-être_V937,Bundle Complet,Sophie Martin,Podcast,Bien-être global,Mon avis honnête,Octobre 2025,En ligne,23/10/2025,5481,163,18306.54,3.34,33.63,340187,14288,4.2
AG1_Motion-Vidéo_Camille_Énergie_V938,Bundle Complet,Camille Dubois,Motion/Vidéo,Énergie quotidienne,Avant chaque entraînement...,Juillet 2025,Arrêtée,07/07/2025,3020,120,9724.4,3.22,25.17,380087,13303,3.5
AG1_Témoignage_Camille_Bien-être_V939,Shaker,Camille Dubois,Témoignage,Bien-être global,Pourquoi je ne peux plus m'en passer,Septembre 2025,En pause,11/09/2025,4999,81,19696.06,3.94,61.72,320313,6086,1.9
AG1_UGC_Pierre_Bien-être_V940,Shaker,Pierre Moreau,UGC,Bien-être global,Mon avis honnête,Octobre 2025,En pause,08/10/2025,2983,67,6890.73,2.31,44.52,457896,10074,2.2
AG1_Podcast_Camille_Immunité_V941,AG1 Travel Packs,Camille Dubois,Podcast,Immunité,3 mois plus tard...,Septembre 2025,Archivée,02/09/2025,3558,154,9321.96,2.62,23.1,449666,11691,2.6
AG1_Témoignage_Thomas_Bien-être_V942,Shaker,Thomas Bernard,Témoignage,Bien-être global,Pourquoi je ne peux plus m'en passer,Septembre 2025,En ligne,13/09/2025,7903,166,7112.7,0.9,47.61,162694,3091,1.9
AG1_Imagestatique_Julie_Routine_V943,Bundle Complet,Julie Petit,Image statique,Routine matinale,Ce que personne ne dit,Septembre 2025,Arrêtée,02/09/2025,2799,74,2966.94,1.06,37.82,161427,4036,2.5
AG1_Imagestatique_Pierre_Digestion_V944,Omega-3,Pierre Moreau,Image statique,Digestion,Mon secret de productivité,Octobre 2025,En pause,13/10/2025,7160,197,11098,1.55,36.35,96106,4133,4.3
AG1_Motion-Vidéo_Léa_Énergie_V945,Bundle Complet,Léa Garcia,Motion/Vidéo,Énergie quotidienne,Mon secret de productivité,Août 2025,En ligne,21/08/2025,7944,112,28121.76,3.54,70.93,148037,4293,2.9
AG1_Imagestatique_Léa_Performance_V946,AG1 Powder,Léa Garcia,Image statique,Performance sportive,Ce qui a changé ma vie...,Septembre 2025,Archivée,04/09/2025,945,60,3326.4,3.52,15.75,237051,9008,3.8
AG1_Témoignage_Léa_Digestion_V947,Abonnement,Léa Garcia,Témoignage,Digestion,3 mois plus tard...,Octobre 2025,En pause,13/10/2025,5956,241,20250.4,3.4,24.71,163590,6053,3.7
AG1_Imagestatique_Marc_Immunité_V948,AG1 Travel Packs,Marc Dupont,Image statique,Immunité,Pourquoi je ne peux plus m'en passer,Octobre 2025,En pause,21/10/2025,2816,86,12108.8,4.3,32.74,390582,10936,2.8
AG1_Témoignage_Camille_Routine_V949,Bundle Complet,Camille Dubois,Témoignage,Routine matinale,Mon secret de productivité,Novembre 2025,En ligne,05/11/2025,856,237,3492.48,4.08,3.61,163797,6388,3.9
AG1_Motion-Vidéo_Julie_Performance_V950,AG1 Travel Packs,Julie Petit,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Juillet 2025,En ligne,24/07/2025,4378,155,10332.08,2.36,28.25,102395,2253,2.2
AG1_Imagestatique_Léa_Énergie_V951,AG1 Travel Packs,Léa Garcia,Image statique,Énergie quotidienne,Pourquoi je ne peux plus m'en passer,Juillet 2025,Arrêtée,06/07/2025,7257,189,12844.89,1.77,38.4,399228,12775,3.2
AG1_Podcast_Julie_Bien-être_V952,Bundle Complet,Julie Petit,Podcast,Bien-être global,La vérité sur AG1,Octobre 2025,Arrêtée,17/10/2025,4629,158,16340.37,3.53,29.3,228982,9159,4
AG1_Motion-Vidéo_Léa_Focus_V953,Omega-3,Léa Garcia,Motion/Vidéo,Focus mental,Avant chaque entraînement...,Août 2025,Arrêtée,17/08/2025,6135,197,20061.45,3.27,31.14,130864,1963,1.5
AG1_Témoignage_Camille_Immunité_V954,AG1 Powder,Camille Dubois,Témoignage,Immunité,Avant chaque entraînement...,Octobre 2025,Arrêtée,11/10/2025,814,226,1961.74,2.41,3.6,479503,15344,3.2
AG1_Témoignage_Antoine_Immunité_V955,Shaker,Antoine Roux,Témoignage,Immunité,3 mois plus tard...,Août 2025,En pause,08/08/2025,2152,115,6240.8,2.9,18.71,401882,16879,4.2
AG1_Podcast_Pierre_Immunité_V956,Bundle Complet,Pierre Moreau,Podcast,Immunité,Ce que personne ne dit,Novembre 2025,En pause,06/11/2025,1316,195,3303.16,2.51,6.75,332643,5655,1.7
AG1_Témoignage_Léa_Digestion_V957,Omega-3,Léa Garcia,Témoignage,Digestion,Ce qui a changé ma vie...,Octobre 2025,Archivée,07/10/2025,2576,227,8706.88,3.38,11.35,411290,6581,1.6
AG1_Podcast_Antoine_Énergie_V958,Bundle Complet,Antoine Roux,Podcast,Énergie quotidienne,Avant chaque entraînement...,Septembre 2025,En pause,23/09/2025,6929,27,30002.57,4.33,256.63,190905,6491,3.4
AG1_Motion-Vidéo_Julie_Bien-être_V959,AG1 Powder,Julie Petit,Motion/Vidéo,Bien-être global,La vérité sur AG1,Novembre 2025,Archivée,16/11/2025,2197,188,3493.23,1.59,11.69,204545,4295,2.1
AG1_Imagestatique_Julie_Routine_V960,Omega-3,Julie Petit,Image statique,Routine matinale,Ce que personne ne dit,Août 2025,Archivée,03/08/2025,4830,62,17243.1,3.57,77.9,192491,6160,3.2
AG1_Podcast_Léa_Performance_V961,Omega-3,Léa Garcia,Podcast,Performance sportive,La vérité sur AG1,Novembre 2025,En ligne,22/11/2025,7702,230,33118.6,4.3,33.49,105532,2216,2.1
AG1_Motion-Vidéo_Julie_Bien-être_V962,AG1 Powder,Julie Petit,Motion/Vidéo,Bien-être global,La vérité sur AG1,Septembre 2025,En pause,24/09/2025,1994,43,5822.48,2.92,46.37,452177,9496,2.1
AG1_Podcast_Antoine_Performance_V963,AG1 Travel Packs,Antoine Roux,Podcast,Performance sportive,Mon avis honnête,Juillet 2025,En ligne,09/07/2025,2662,51,9742.92,3.66,52.2,300384,12917,4.3
AG1_Podcast_Léa_Bien-être_V964,Omega-3,Léa Garcia,Podcast,Bien-être global,Ce que personne ne dit,Juillet 2025,Arrêtée,06/07/2025,7574,244,25751.6,3.4,31.04,361928,11220,3.1
AG1_Témoignage_Julie_Voyage_V965,Bundle Complet,Julie Petit,Témoignage,Voyage et santé,Mon secret de productivité,Novembre 2025,En pause,12/11/2025,2101,65,4475.13,2.13,32.32,86926,1825,2.1
AG1_Motion-Vidéo_Marc_Focus_V966,Bundle Complet,Marc Dupont,Motion/Vidéo,Focus mental,Mon avis honnête,Août 2025,Archivée,18/08/2025,2844,229,6057.72,2.13,12.42,395184,6718,1.7
AG1_Podcast_Camille_Digestion_V967,Shaker,Camille Dubois,Podcast,Digestion,Mon avis honnête,Août 2025,En ligne,14/08/2025,5268,79,5847.48,1.11,66.68,442679,12395,2.8
AG1_Motion-Vidéo_Pierre_Digestion_V968,Bundle Complet,Pierre Moreau,Motion/Vidéo,Digestion,Mon secret de productivité,Octobre 2025,Archivée,22/10/2025,3825,42,15873.75,4.15,91.07,185295,3891,2.1
AG1_UGC_Studio_Voyage_V969,Omega-3,Studio Interne,UGC,Voyage et santé,Mon secret de productivité,Octobre 2025,Archivée,16/10/2025,953,135,4078.84,4.28,7.06,408809,17988,4.4
AG1_UGC_Antoine_Immunité_V970,Vitamine D3+K2,Antoine Roux,UGC,Immunité,Mon avis honnête,Septembre 2025,En pause,23/09/2025,2844,100,2787.12,0.98,28.44,52041,2134,4.1
AG1_Témoignage_Camille_Énergie_V971,Shaker,Camille Dubois,Témoignage,Énergie quotidienne,Pourquoi je ne peux plus m'en passer,Novembre 2025,En ligne,25/11/2025,4463,203,12273.25,2.75,21.99,392950,9038,2.3
AG1_Témoignage_Thomas_Voyage_V972,Bundle Complet,Thomas Bernard,Témoignage,Voyage et santé,Pourquoi je ne peux plus m'en passer,Septembre 2025,Archivée,13/09/2025,7247,74,30292.46,4.18,97.93,200761,8833,4.4
AG1_Podcast_Sophie_Routine_V973,AG1 Powder,Sophie Martin,Podcast,Routine matinale,La vérité sur AG1,Octobre 2025,Archivée,23/10/2025,4823,96,11285.82,2.34,50.24,233418,3735,1.6
AG1_Podcast_Julie_Performance_V974,Bundle Complet,Julie Petit,Podcast,Performance sportive,La vérité sur AG1,Septembre 2025,Arrêtée,11/09/2025,4510,75,11049.5,2.45,60.13,483875,18871,3.9
AG1_Motion-Vidéo_Marc_Focus_V975,AG1 Powder,Marc Dupont,Motion/Vidéo,Focus mental,La vérité sur AG1,Octobre 2025,Archivée,25/10/2025,5963,185,7990.42,1.34,32.23,45959,1425,3.1
AG1_Podcast_Emma_Énergie_V976,AG1 Travel Packs,Emma Laurent,Podcast,Énergie quotidienne,Avant chaque entraînement...,Septembre 2025,En ligne,27/09/2025,7517,95,14883.66,1.98,79.13,199714,4194,2.1
AG1_Témoignage_Studio_Voyage_V977,Shaker,Studio Interne,Témoignage,Voyage et santé,Pourquoi je ne peux plus m'en passer,Septembre 2025,En ligne,19/09/2025,2927,143,12995.88,4.44,20.47,334825,7701,2.3
AG1_UGC_Julie_Focus_V978,Omega-3,Julie Petit,UGC,Focus mental,Mon avis honnête,Août 2025,En pause,14/08/2025,5079,229,8735.88,1.72,22.18,346395,11085,3.2
AG1_Imagestatique_Camille_Focus_V979,Omega-3,Camille Dubois,Image statique,Focus mental,Avant chaque entraînement...,Novembre 2025,En pause,27/11/2025,5199,18,8786.31,1.69,288.83,350706,10521,3
AG1_Témoignage_Julie_Voyage_V980,Vitamine D3+K2,Julie Petit,Témoignage,Voyage et santé,Ce que personne ne dit,Novembre 2025,En ligne,27/11/2025,7888,85,16564.8,2.1,92.8,317625,4764,1.5
AG1_Imagestatique_Julie_Routine_V981,Bundle Complet,Julie Petit,Image statique,Routine matinale,3 mois plus tard...,Septembre 2025,En ligne,03/09/2025,2527,127,4498.06,1.78,19.9,36931,886,2.4
AG1_Témoignage_Pierre_Énergie_V982,AG1 Travel Packs,Pierre Moreau,Témoignage,Énergie quotidienne,Ce que personne ne dit,Septembre 2025,En pause,07/09/2025,7650,32,12928.5,1.69,239.06,233471,9572,4.1
AG1_Témoignage_Studio_Performance_V983,Abonnement,Studio Interne,Témoignage,Performance sportive,Pourquoi je ne peux plus m'en passer,Septembre 2025,Archivée,20/09/2025,5377,132,13496.27,2.51,40.73,208770,3340,1.6
AG1_Témoignage_Sophie_Digestion_V984,Vitamine D3+K2,Sophie Martin,Témoignage,Digestion,3 mois plus tard...,Août 2025,Archivée,22/08/2025,5985,182,24239.25,4.05,32.88,199101,7765,3.9
AG1_Podcast_Studio_Bien-être_V985,Omega-3,Studio Interne,Podcast,Bien-être global,Avant chaque entraînement...,Novembre 2025,Archivée,12/11/2025,4112,241,18133.92,4.41,17.06,311930,6239,2
AG1_Motion-Vidéo_Studio_Bien-être_V986,Omega-3,Studio Interne,Motion/Vidéo,Bien-être global,Avant chaque entraînement...,Août 2025,En ligne,17/08/2025,4046,64,7525.56,1.86,63.22,379646,9491,2.5
AG1_Témoignage_Camille_Focus_V987,Shaker,Camille Dubois,Témoignage,Focus mental,Avant chaque entraînement...,Novembre 2025,En pause,20/11/2025,4629,211,6804.63,1.47,21.94,152310,6092,4
AG1_UGC_Emma_Énergie_V988,Vitamine D3+K2,Emma Laurent,UGC,Énergie quotidienne,Ce qui a changé ma vie...,Novembre 2025,En ligne,17/11/2025,6469,56,20636.11,3.19,115.52,147182,4415,3
AG1_Podcast_Sophie_Digestion_V989,AG1 Powder,Sophie Martin,Podcast,Digestion,Mon secret de productivité,Juillet 2025,En ligne,14/07/2025,935,192,1280.95,1.37,4.87,371944,9299,2.5
AG1_UGC_Studio_Bien-être_V990,Abonnement,Studio Interne,UGC,Bien-être global,Avant chaque entraînement...,Août 2025,En pause,06/08/2025,4259,188,16439.74,3.86,22.65,238911,8362,3.5
AG1_Podcast_Julie_Digestion_V991,Bundle Complet,Julie Petit,Podcast,Digestion,Pourquoi je ne peux plus m'en passer,Juillet 2025,En ligne,06/07/2025,721,46,987.77,1.37,15.67,407041,10990,2.7
AG1_Témoignage_Emma_Voyage_V992,Omega-3,Emma Laurent,Témoignage,Voyage et santé,Mon secret de productivité,Novembre 2025,En pause,21/11/2025,2241,114,9950.04,4.44,19.66,266217,5857,2.2
AG1_Podcast_Pierre_Voyage_V993,Omega-3,Pierre Moreau,Podcast,Voyage et santé,Mon avis honnête,Novembre 2025,Archivée,05/11/2025,6592,84,19776,3,78.48,428310,15847,3.7
AG1_Podcast_Marc_Routine_V994,Bundle Complet,Marc Dupont,Podcast,Routine matinale,Ce que personne ne dit,Novembre 2025,En ligne,08/11/2025,4853,123,11889.85,2.45,39.46,373214,6718,1.8
AG1_Podcast_Antoine_Énergie_V995,Bundle Complet,Antoine Roux,Podcast,Énergie quotidienne,Mon avis honnête,Septembre 2025,En ligne,23/09/2025,6361,23,26270.93,4.13,276.57,367575,6984,1.9
AG1_UGC_Marc_Voyage_V996,AG1 Powder,Marc Dupont,UGC,Voyage et santé,Avant chaque entraînement...,Juillet 2025,En pause,24/07/2025,7171,178,14055.16,1.96,40.29,453920,17249,3.8
AG1_UGC_Thomas_Performance_V997,Vitamine D3+K2,Thomas Bernard,UGC,Performance sportive,Mon secret de productivité,Novembre 2025,Arrêtée,14/11/2025,3649,80,4561.25,1.25,45.61,494026,11857,2.4
AG1_UGC_Pierre_Performance_V998,Bundle Complet,Pierre Moreau,UGC,Performance sportive,Ce qui a changé ma vie...,Octobre 2025,Arrêtée,27/10/2025,7291,197,21289.72,2.92,37.01,109854,3735,3.4
AG1_UGC_Sophie_Digestion_V999,Shaker,Sophie Martin,UGC,Digestion,3 mois plus tard...,Juillet 2025,En pause,18/07/2025,4276,199,8936.84,2.09,21.49,68435,1848,2.7
AG1_Motion-Vidéo_Pierre_Digestion_V1000,Abonnement,Pierre Moreau,Motion/Vidéo,Digestion,Ce qui a changé ma vie...,Juillet 2025,En pause,17/07/2025,1540,225,6745.2,4.38,6.84,256026,9985,3.9
AG1_Motion-Vidéo_Léa_Bien-être_V1001,Bundle Complet,Léa Garcia,Motion/Vidéo,Bien-être global,Mon avis honnête,Juillet 2025,Archivée,15/07/2025,6207,23,16200.27,2.61,269.87,396699,11901,3
AG1_UGC_Studio_Bien-être_V1002,Vitamine D3+K2,Studio Interne,UGC,Bien-être global,Pourquoi je ne peux plus m'en passer,Septembre 2025,Archivée,09/09/2025,4434,178,19731.3,4.45,24.91,84192,3031,3.6
AG1_UGC_Sophie_Immunité_V1003,Abonnement,Sophie Martin,UGC,Immunité,Mon secret de productivité,Novembre 2025,En pause,01/11/2025,3257,158,7458.53,2.29,20.61,345242,6560,1.9
AG1_Témoignage_Antoine_Bien-être_V1004,Shaker,Antoine Roux,Témoignage,Bien-être global,Pourquoi je ne peux plus m'en passer,Juillet 2025,En ligne,12/07/2025,3527,139,11074.78,3.14,25.37,400846,7215,1.8
AG1_Motion-Vidéo_Sophie_Routine_V1005,Bundle Complet,Sophie Martin,Motion/Vidéo,Routine matinale,La vérité sur AG1,Août 2025,Arrêtée,02/08/2025,2458,73,6194.16,2.52,33.67,203864,4689,2.3
AG1_UGC_Emma_Bien-être_V1006,Omega-3,Emma Laurent,UGC,Bien-être global,Ce que personne ne dit,Août 2025,Archivée,13/08/2025,7588,13,26937.4,3.55,583.69,183117,6409,3.5
AG1_Motion-Vidéo_Sophie_Digestion_V1007,Abonnement,Sophie Martin,Motion/Vidéo,Digestion,Ce qui a changé ma vie...,Août 2025,Arrêtée,07/08/2025,3752,223,7616.56,2.03,16.83,404414,14154,3.5
AG1_UGC_Léa_Bien-être_V1008,Omega-3,Léa Garcia,UGC,Bien-être global,Pourquoi je ne peux plus m'en passer,Octobre 2025,Archivée,10/10/2025,2538,107,7106.4,2.8,23.72,171896,5501,3.2
AG1_Podcast_Studio_Voyage_V1009,Omega-3,Studio Interne,Podcast,Voyage et santé,Mon secret de productivité,Août 2025,En pause,16/08/2025,4014,190,11078.64,2.76,21.13,405697,8520,2.1
AG1_Imagestatique_Thomas_Focus_V1010,Bundle Complet,Thomas Bernard,Image statique,Focus mental,Pourquoi je ne peux plus m'en passer,Septembre 2025,Archivée,24/09/2025,3929,74,17248.31,4.39,53.09,280756,4773,1.7
AG1_UGC_Léa_Focus_V1011,AG1 Powder,Léa Garcia,UGC,Focus mental,3 mois plus tard...,Novembre 2025,Arrêtée,26/11/2025,2789,213,4016.16,1.44,13.09,420926,17258,4.1
AG1_Motion-Vidéo_Julie_Digestion_V1012,Vitamine D3+K2,Julie Petit,Motion/Vidéo,Digestion,3 mois plus tard...,Août 2025,En pause,20/08/2025,5973,210,24907.41,4.17,28.44,307508,10455,3.4
AG1_Témoignage_Pierre_Routine_V1013,AG1 Travel Packs,Pierre Moreau,Témoignage,Routine matinale,3 mois plus tard...,Juillet 2025,Arrêtée,12/07/2025,4936,246,15104.16,3.06,20.07,110214,4629,4.2
AG1_Podcast_Julie_Voyage_V1014,Shaker,Julie Petit,Podcast,Voyage et santé,Pourquoi je ne peux plus m'en passer,Septembre 2025,En ligne,25/09/2025,5709,149,19353.51,3.39,38.32,425978,10223,2.4
AG1_Imagestatique_Camille_Performance_V1015,Abonnement,Camille Dubois,Image statique,Performance sportive,La vérité sur AG1,Octobre 2025,Archivée,08/10/2025,2914,102,8363.18,2.87,28.57,256563,4875,1.9
AG1_Témoignage_Julie_Focus_V1016,Shaker,Julie Petit,Témoignage,Focus mental,Ce qui a changé ma vie...,Juillet 2025,En pause,08/07/2025,5645,160,12023.85,2.13,35.28,63603,2290,3.6
AG1_Motion-Vidéo_Pierre_Performance_V1017,AG1 Powder,Pierre Moreau,Motion/Vidéo,Performance sportive,Pourquoi je ne peux plus m'en passer,Août 2025,Archivée,04/08/2025,5063,161,20555.78,4.06,31.45,223230,7143,3.2
AG1_Motion-Vidéo_Marc_Immunité_V1018,AG1 Travel Packs,Marc Dupont,Motion/Vidéo,Immunité,Ce qui a changé ma vie...,Novembre 2025,En ligne,12/11/2025,1624,35,5407.92,3.33,46.4,26613,399,1.5
AG1_Motion-Vidéo_Antoine_Digestion_V1019,AG1 Powder,Antoine Roux,Motion/Vidéo,Digestion,Avant chaque entraînement...,Novembre 2025,En pause,08/11/2025,6571,168,24444.12,3.72,39.11,228681,8233,3.6
AG1_Imagestatique_Emma_Routine_V1020,Abonnement,Emma Laurent,Image statique,Routine matinale,Ce que personne ne dit,Septembre 2025,Archivée,10/09/2025,4714,195,15226.22,3.23,24.17,325094,5202,1.6
AG1_Imagestatique_Antoine_Performance_V1021,Bundle Complet,Antoine Roux,Image statique,Performance sportive,Pourquoi je ne peux plus m'en passer,Août 2025,Arrêtée,09/08/2025,2569,59,5343.52,2.08,43.54,170546,6822,4
